query_id	entity_id	entity_type	genre	web_search?	wiki_text?	unknown?
EDL14_ENG_0067	E0146197	PER	WB	N	N	N
EDL14_ENG_0068	NIL0031	PER	DF	N	N	Y
EDL14_ENG_0069	NIL0032	PER	WB	N	Y	N
EDL14_ENG_0070	E0076734	PER	NW	N	N	N
EDL14_ENG_0071	E0271243	ORG	NW	N	Y	N
EDL14_ENG_0072	E0100183	PER	WB	N	N	N
EDL14_ENG_0073	E0174079	ORG	NW	N	N	N
EDL14_ENG_0074	NIL0033	PER	NW	N	Y	N
EDL14_ENG_0075	E0431624	PER	NW	N	N	N
EDL14_ENG_0076	E0428074	ORG	DF	N	N	N
EDL14_ENG_0077	E0643253	PER	NW	N	N	N
EDL14_ENG_0078	E0411501	PER	DF	N	Y	N
EDL14_ENG_0079	NIL0034	ORG	NW	N	Y	N
EDL14_ENG_0080	NIL0035	PER	WB	N	N	N
EDL14_ENG_0081	E0088207	ORG	NW	N	N	N
EDL14_ENG_0082	E0777095	ORG	WB	N	N	N
EDL14_ENG_0083	E0373654	GPE	NW	N	N	N
EDL14_ENG_0084	E0316785	ORG	DF	Y	Y	N
EDL14_ENG_0085	E0264302	PER	DF	Y	Y	N
EDL14_ENG_0086	E0775129	GPE	NW	N	Y	N
EDL14_ENG_0087	E0161630	PER	NW	N	N	N
EDL14_ENG_0088	E0196933	ORG	DF	N	N	N
EDL14_ENG_0089	E0594272	GPE	WB	N	N	N
EDL14_ENG_0090	E0640682	ORG	WB	N	N	N
EDL14_ENG_0091	NIL0036	PER	WB	N	N	Y
EDL14_ENG_0092	E0651632	ORG	DF	N	Y	N
EDL14_ENG_0093	E0742859	ORG	NW	Y	N	N
EDL14_ENG_0094	NIL0037	PER	DF	N	N	Y
EDL14_ENG_0095	E0065870	GPE	WB	N	Y	N
EDL14_ENG_0096	NIL0038	PER	DF	N	N	Y
EDL14_ENG_0097	E0679687	GPE	NW	N	N	N
EDL14_ENG_0098	NIL0039	PER	DF	N	N	Y
EDL14_ENG_0099	NIL0040	PER	WB	N	N	N
EDL14_ENG_0100	E0742859	ORG	NW	Y	N	N
EDL14_ENG_0101	E0819391	PER	NW	N	N	N
EDL14_ENG_0102	E0779655	PER	NW	N	Y	N
EDL14_ENG_0103	NIL0041	PER	DF	N	N	Y
EDL14_ENG_0104	E0100183	PER	WB	N	N	N
EDL14_ENG_0105	E0768746	PER	NW	N	Y	N
EDL14_ENG_0106	E0131688	PER	DF	N	Y	N
EDL14_ENG_0107	E0564946	ORG	WB	N	Y	N
EDL14_ENG_0108	E0543242	PER	DF	N	Y	N
EDL14_ENG_0109	NIL0042	PER	NW	N	Y	N
EDL14_ENG_0110	NIL0043	ORG	NW	Y	Y	N
EDL14_ENG_0111	E0009466	ORG	WB	N	N	N
EDL14_ENG_0112	E0065015	GPE	DF	Y	Y	N
EDL14_ENG_0113	E0397283	GPE	DF	N	N	N
EDL14_ENG_0114	E0393752	PER	NW	N	N	N
EDL14_ENG_0115	NIL0044	PER	DF	N	N	Y
EDL14_ENG_0116	NIL0045	PER	DF	N	N	Y
EDL14_ENG_0117	E0605604	GPE	WB	N	N	N
EDL14_ENG_0118	NIL0046	PER	DF	N	N	Y
EDL14_ENG_0119	E0700746	ORG	WB	N	N	N
EDL14_ENG_0120	NIL0047	PER	DF	N	N	Y
EDL14_ENG_0121	NIL0048	PER	DF	N	N	N
EDL14_ENG_0122	E0255557	PER	DF	N	Y	N
EDL14_ENG_0123	NIL0049	PER	DF	N	N	Y
EDL14_ENG_0124	E0769300	GPE	NW	N	N	N
EDL14_ENG_0125	NIL0050	PER	WB	Y	Y	N
EDL14_ENG_0126	NIL0051	PER	DF	N	N	Y
EDL14_ENG_0127	E0100324	PER	DF	N	Y	N
EDL14_ENG_0128	E0784459	ORG	NW	N	N	N
EDL14_ENG_0129	NIL0052	ORG	NW	N	N	N
EDL14_ENG_0130	E0705139	GPE	WB	N	Y	N
EDL14_ENG_0131	E0401466	GPE	NW	Y	Y	N
EDL14_ENG_0132	E0605819	PER	DF	N	N	N
EDL14_ENG_0133	NIL0053	PER	NW	Y	Y	N
EDL14_ENG_0134	E0506233	PER	DF	N	N	N
EDL14_ENG_0135	NIL0054	PER	DF	N	N	Y
EDL14_ENG_0136	E0282494	PER	NW	N	N	N
EDL14_ENG_0137	NIL0055	PER	DF	N	N	Y
EDL14_ENG_0138	NIL0056	PER	NW	Y	N	N
EDL14_ENG_0139	NIL0048	PER	DF	N	N	N
EDL14_ENG_0140	NIL0057	PER	DF	N	N	Y
EDL14_ENG_0141	E0707513	ORG	NW	N	Y	N
EDL14_ENG_0142	NIL0058	PER	DF	N	N	Y
EDL14_ENG_0143	NIL0059	PER	DF	N	N	Y
EDL14_ENG_0144	E0199103	GPE	NW	Y	Y	N
EDL14_ENG_0145	E0643253	PER	NW	N	N	N
EDL14_ENG_0146	NIL0060	ORG	NW	Y	N	N
EDL14_ENG_0147	E0773898	GPE	NW	N	N	N
EDL14_ENG_0148	E0048759	ORG	DF	N	N	N
EDL14_ENG_0149	NIL0061	PER	NW	Y	Y	N
EDL14_ENG_0150	E0201977	PER	DF	N	N	N
EDL14_ENG_0151	NIL0062	PER	DF	N	N	Y
EDL14_ENG_0152	E0640682	GPE	NW	N	N	N
EDL14_ENG_0153	NIL0063	GPE	NW	N	Y	N
EDL14_ENG_0154	NIL0064	PER	NW	Y	Y	N
EDL14_ENG_0155	E0088207	ORG	NW	N	N	N
EDL14_ENG_0156	E0186427	ORG	NW	Y	Y	N
EDL14_ENG_0157	E0411015	GPE	WB	Y	Y	N
EDL14_ENG_0158	NIL0065	PER	NW	N	N	N
EDL14_ENG_0159	NIL0066	PER	NW	Y	Y	N
EDL14_ENG_0160	E0359947	PER	NW	N	Y	N
EDL14_ENG_0161	NIL0067	PER	WB	Y	N	N
EDL14_ENG_0162	NIL0068	ORG	WB	Y	Y	N
EDL14_ENG_0163	E0539861	PER	NW	N	N	N
EDL14_ENG_0164	E0418540	GPE	WB	N	Y	N
EDL14_ENG_0165	E0404964	PER	NW	Y	Y	N
EDL14_ENG_0166	E0315956	GPE	NW	Y	Y	N
EDL14_ENG_0167	NIL0069	PER	DF	N	N	Y
EDL14_ENG_0168	E0739132	GPE	NW	N	Y	N
EDL14_ENG_0169	NIL0070	PER	WB	Y	N	N
EDL14_ENG_0170	E0202997	ORG	WB	N	Y	N
EDL14_ENG_0171	E0679687	GPE	DF	N	Y	N
EDL14_ENG_0172	E0469555	ORG	DF	N	N	N
EDL14_ENG_0173	E0358470	ORG	NW	N	Y	N
EDL14_ENG_0174	E0455080	PER	WB	N	N	N
EDL14_ENG_0175	NIL0071	PER	DF	N	N	Y
EDL14_ENG_0176	NIL0072	ORG	WB	Y	Y	N
EDL14_ENG_0177	NIL0073	PER	NW	N	N	N
EDL14_ENG_0178	E0679687	GPE	NW	N	N	N
EDL14_ENG_0179	NIL0027	ORG	NW	N	N	N
EDL14_ENG_0180	E0370549	PER	NW	N	Y	N
EDL14_ENG_0181	E0555571	GPE	WB	Y	Y	N
EDL14_ENG_0182	E0619582	PER	NW	N	Y	N
EDL14_ENG_0183	NIL0068	ORG	WB	Y	Y	N
EDL14_ENG_0184	E0795131	GPE	NW	N	Y	N
EDL14_ENG_0185	NIL0074	PER	DF	N	N	Y
EDL14_ENG_0186	NIL0075	PER	DF	N	N	Y
EDL14_ENG_0187	E0530900	GPE	NW	N	N	N
EDL14_ENG_0188	E0039758	PER	DF	N	Y	N
EDL14_ENG_0189	NIL0076	PER	WB	N	N	Y
EDL14_ENG_0190	E0807166	PER	NW	N	N	N
EDL14_ENG_0191	E0443366	PER	DF	N	Y	N
EDL14_ENG_0192	E0721872	ORG	DF	N	N	N
EDL14_ENG_0193	E0744038	GPE	DF	N	N	N
EDL14_ENG_0194	NIL0077	ORG	NW	Y	Y	N
EDL14_ENG_0195	NIL0078	PER	DF	N	N	Y
EDL14_ENG_0196	E0471856	GPE	WB	N	Y	N
EDL14_ENG_0197	NIL0079	ORG	NW	Y	Y	N
EDL14_ENG_0198	NIL0080	PER	DF	N	N	Y
EDL14_ENG_0199	NIL0001	PER	NW	N	N	N
EDL14_ENG_0200	NIL0081	GPE	DF	N	Y	N
EDL14_ENG_0201	NIL0082	PER	DF	N	N	Y
EDL14_ENG_0202	E0127848	ORG	DF	Y	Y	N
EDL14_ENG_0203	E0038977	PER	NW	N	Y	N
EDL14_ENG_0204	E0312888	PER	NW	N	N	N
EDL14_ENG_0205	E0195040	ORG	DF	N	Y	N
EDL14_ENG_0206	E0743544	ORG	NW	Y	Y	N
EDL14_ENG_0207	NIL0083	PER	DF	Y	Y	N
EDL14_ENG_0208	NIL0084	PER	WB	N	N	Y
EDL14_ENG_0209	NIL0085	GPE	NW	N	Y	N
EDL14_ENG_0210	NIL0086	PER	NW	N	Y	N
EDL14_ENG_0211	NIL0087	PER	DF	N	N	Y
EDL14_ENG_0212	E0620294	GPE	NW	N	N	N
EDL14_ENG_0213	E0780497	PER	DF	N	Y	N
EDL14_ENG_0214	E0583976	GPE	NW	N	Y	N
EDL14_ENG_0215	NIL0088	PER	DF	N	N	Y
EDL14_ENG_0216	E0102536	GPE	NW	N	N	N
EDL14_ENG_0217	NIL0089	PER	DF	Y	Y	N
EDL14_ENG_0218	NIL0090	PER	WB	N	N	Y
EDL14_ENG_0219	NIL0008	PER	NW	N	Y	N
EDL14_ENG_0220	NIL0091	PER	NW	N	Y	N
EDL14_ENG_0221	NIL0092	PER	NW	N	N	N
EDL14_ENG_0222	E0450003	PER	WB	Y	N	N
EDL14_ENG_0223	NIL0093	PER	DF	N	N	Y
EDL14_ENG_0224	E0018102	GPE	NW	N	Y	N
EDL14_ENG_0225	NIL0094	PER	DF	N	N	Y
EDL14_ENG_0226	E0679687	GPE	WB	N	N	N
EDL14_ENG_0227	E0595046	PER	NW	N	Y	N
EDL14_ENG_0228	E0743050	PER	DF	N	N	N
EDL14_ENG_0229	E0471856	GPE	DF	N	N	N
EDL14_ENG_0230	E0585369	GPE	NW	N	Y	N
EDL14_ENG_0231	NIL0095	PER	NW	Y	Y	N
EDL14_ENG_0232	NIL0015	PER	DF	N	N	Y
EDL14_ENG_0233	NIL0069	PER	DF	N	N	Y
EDL14_ENG_0234	NIL0096	PER	DF	N	N	Y
EDL14_ENG_0235	E0819391	PER	NW	N	N	N
EDL14_ENG_0236	E0679687	GPE	NW	N	Y	N
EDL14_ENG_0237	E0199103	GPE	NW	Y	Y	N
EDL14_ENG_0238	E0620264	GPE	WB	N	Y	N
EDL14_ENG_0239	NIL0097	ORG	NW	Y	N	N
EDL14_ENG_0240	E0585369	GPE	NW	N	N	N
EDL14_ENG_0241	E0276615	PER	DF	N	Y	N
EDL14_ENG_0242	E0083620	PER	NW	N	Y	N
EDL14_ENG_0243	NIL0098	PER	DF	N	N	Y
EDL14_ENG_0244	E0679687	GPE	DF	N	N	N
EDL14_ENG_0245	E0150648	ORG	DF	N	N	N
EDL14_ENG_0246	E0794790	GPE	NW	N	N	N
EDL14_ENG_0247	NIL0099	PER	NW	Y	N	N
EDL14_ENG_0248	E0097152	ORG	NW	N	Y	N
EDL14_ENG_0249	E0132228	PER	NW	Y	Y	N
EDL14_ENG_0250	NIL0100	PER	WB	N	N	Y
EDL14_ENG_0251	NIL0101	GPE	NW	Y	Y	N
EDL14_ENG_0252	E0264831	PER	NW	N	N	N
EDL14_ENG_0253	NIL0102	PER	NW	N	Y	N
EDL14_ENG_0254	NIL0076	PER	WB	N	N	Y
EDL14_ENG_0255	E0177088	PER	NW	N	N	N
EDL14_ENG_0256	E0039357	GPE	NW	N	N	N
EDL14_ENG_0257	NIL0103	PER	WB	N	N	Y
EDL14_ENG_0258	E0818704	ORG	DF	Y	Y	N
EDL14_ENG_0259	NIL0104	PER	NW	N	Y	N
EDL14_ENG_0260	E0679687	GPE	NW	N	N	N
EDL14_ENG_0261	NIL0104	PER	NW	N	Y	N
EDL14_ENG_0262	E0576592	ORG	WB	N	N	N
EDL14_ENG_0263	NIL0105	PER	DF	N	N	Y
EDL14_ENG_0264	NIL0106	ORG	NW	N	N	N
EDL14_ENG_0265	E0340228	GPE	NW	N	Y	N
EDL14_ENG_0266	NIL0085	GPE	NW	N	Y	N
EDL14_ENG_0267	E0379511	GPE	NW	N	N	N
EDL14_ENG_0268	NIL0107	PER	NW	N	N	N
EDL14_ENG_0269	NIL0108	PER	WB	Y	Y	N
EDL14_ENG_0270	NIL0109	GPE	NW	Y	Y	N
EDL14_ENG_0271	NIL0110	PER	DF	N	N	Y
EDL14_ENG_0272	E0472659	GPE	DF	N	N	N
EDL14_ENG_0273	NIL0088	PER	DF	N	N	Y
EDL14_ENG_0274	E0679687	GPE	NW	N	N	N
EDL14_ENG_0275	E0076072	GPE	NW	Y	N	N
EDL14_ENG_0276	E0226785	PER	WB	N	N	N
EDL14_ENG_0277	E0528308	GPE	NW	N	N	N
EDL14_ENG_0278	E0348701	PER	DF	N	Y	N
EDL14_ENG_0279	E0750963	PER	DF	N	N	N
EDL14_ENG_0280	NIL0111	PER	DF	N	N	Y
EDL14_ENG_0281	NIL0112	ORG	NW	Y	Y	N
EDL14_ENG_0282	E0141366	PER	NW	N	Y	N
EDL14_ENG_0283	NIL0113	PER	DF	N	N	Y
EDL14_ENG_0284	E0088840	ORG	WB	N	N	N
EDL14_ENG_0285	NIL0114	PER	WB	N	Y	N
EDL14_ENG_0286	NIL0115	PER	DF	N	N	Y
EDL14_ENG_0287	NIL0116	PER	WB	Y	Y	N
EDL14_ENG_0288	E0493745	PER	DF	Y	Y	N
EDL14_ENG_0289	NIL0028	PER	DF	N	N	Y
EDL14_ENG_0290	NIL0035	PER	WB	Y	N	N
EDL14_ENG_0291	E0748134	ORG	NW	N	N	N
EDL14_ENG_0292	NIL0117	PER	DF	N	N	Y
EDL14_ENG_0293	NIL0118	PER	DF	N	N	Y
EDL14_ENG_0294	NIL0099	PER	NW	Y	N	N
EDL14_ENG_0295	E0595006	GPE	WB	N	N	N
EDL14_ENG_0296	E0541963	ORG	NW	N	N	N
EDL14_ENG_0297	E0616747	PER	NW	Y	Y	N
EDL14_ENG_0298	NIL0119	ORG	WB	Y	Y	N
EDL14_ENG_0299	NIL0120	PER	DF	N	N	Y
EDL14_ENG_0300	E0689220	ORG	NW	N	N	N
EDL14_ENG_0301	E0418540	GPE	WB	N	Y	N
EDL14_ENG_0302	E0679687	GPE	WB	N	Y	N
EDL14_ENG_0303	NIL0121	PER	DF	N	N	Y
EDL14_ENG_0304	E0370549	PER	NW	N	N	N
EDL14_ENG_0305	E0357690	PER	DF	N	Y	N
EDL14_ENG_0306	NIL0122	PER	NW	N	Y	N
EDL14_ENG_0307	E0389578	GPE	NW	N	N	N
EDL14_ENG_0308	NIL0081	GPE	DF	Y	Y	N
EDL14_ENG_0309	NIL0123	PER	WB	N	Y	N
EDL14_ENG_0310	NIL0077	ORG	NW	Y	Y	N
EDL14_ENG_0311	NIL0124	PER	NW	N	N	N
EDL14_ENG_0312	E0787371	ORG	NW	N	N	N
EDL14_ENG_0313	E0409686	GPE	NW	N	N	N
EDL14_ENG_0314	E0352938	PER	WB	N	N	N
EDL14_ENG_0315	E0525761	GPE	NW	N	N	N
EDL14_ENG_0316	NIL0023	PER	DF	N	N	Y
EDL14_ENG_0317	NIL0092	PER	NW	N	N	N
EDL14_ENG_0318	E0456892	PER	DF	N	N	N
EDL14_ENG_0319	E0471856	GPE	NW	N	N	N
EDL14_ENG_0320	NIL0125	PER	DF	N	N	Y
EDL14_ENG_0321	E0438229	GPE	NW	N	Y	N
EDL14_ENG_0322	E0679687	GPE	NW	N	Y	N
EDL14_ENG_0323	E0620264	GPE	WB	N	Y	N
EDL14_ENG_0324	NIL0126	GPE	DF	N	Y	N
EDL14_ENG_0325	E0679687	GPE	DF	N	N	N
EDL14_ENG_0326	E0619582	PER	NW	N	Y	N
EDL14_ENG_0327	NIL0127	PER	NW	Y	Y	N
EDL14_ENG_0328	E0770534	ORG	WB	N	Y	N
EDL14_ENG_0329	NIL0117	PER	DF	N	N	Y
EDL14_ENG_0330	E0745790	PER	NW	N	N	N
EDL14_ENG_0331	E0033786	PER	DF	N	Y	N
EDL14_ENG_0332	NIL0128	ORG	NW	N	N	N
EDL14_ENG_0333	E0392964	GPE	WB	Y	N	N
EDL14_ENG_0334	NIL0129	PER	NW	N	N	N
EDL14_ENG_0335	E0748134	ORG	DF	N	Y	N
EDL14_ENG_0336	E0033739	PER	NW	N	N	N
EDL14_ENG_0337	E0314883	PER	DF	N	N	N
EDL14_ENG_0338	E0566375	PER	NW	N	N	N
EDL14_ENG_0339	NIL0130	PER	DF	N	N	Y
EDL14_ENG_0340	E0069256	GPE	NW	N	N	N
EDL14_ENG_0341	NIL0131	PER	DF	N	N	Y
EDL14_ENG_0342	E0173529	ORG	WB	N	N	N
EDL14_ENG_0343	E0141366	PER	NW	N	N	N
EDL14_ENG_0344	NIL0132	PER	NW	Y	N	N
EDL14_ENG_0345	E0772994	PER	NW	N	N	N
EDL14_ENG_0346	E0677229	GPE	NW	N	Y	N
EDL14_ENG_0347	E0516175	PER	NW	N	N	N
EDL14_ENG_0348	E0263422	GPE	NW	N	N	N
EDL14_ENG_0349	NIL0133	PER	WB	Y	N	N
EDL14_ENG_0350	NIL0134	PER	DF	N	N	Y
EDL14_ENG_0351	E0161565	GPE	DF	N	N	N
EDL14_ENG_0352	E0775832	PER	DF	N	Y	N
EDL14_ENG_0353	E0375368	PER	DF	N	N	N
EDL14_ENG_0354	E0314883	PER	DF	N	N	N
EDL14_ENG_0355	NIL0135	ORG	NW	Y	N	N
EDL14_ENG_0356	NIL0136	PER	NW	Y	Y	N
EDL14_ENG_0357	NIL0137	PER	DF	N	N	Y
EDL14_ENG_0358	NIL0138	PER	DF	N	N	Y
EDL14_ENG_0359	NIL0139	ORG	NW	Y	Y	N
EDL14_ENG_0360	NIL0140	PER	NW	N	Y	N
EDL14_ENG_0361	NIL0141	ORG	DF	Y	Y	N
EDL14_ENG_0362	NIL0142	PER	NW	N	N	N
EDL14_ENG_0363	NIL0143	PER	DF	N	N	Y
EDL14_ENG_0364	E0039758	PER	DF	N	Y	N
EDL14_ENG_0365	NIL0144	PER	NW	N	Y	N
EDL14_ENG_0366	NIL0145	PER	WB	Y	N	N
EDL14_ENG_0367	E0603984	PER	DF	N	N	N
EDL14_ENG_0368	NIL0146	PER	NW	N	N	N
EDL14_ENG_0369	NIL0147	PER	WB	Y	N	N
EDL14_ENG_0370	E0344232	ORG	NW	Y	N	N
EDL14_ENG_0371	E0382887	GPE	DF	N	N	N
EDL14_ENG_0372	E0024433	PER	NW	Y	Y	N
EDL14_ENG_0373	E0681478	ORG	NW	N	N	N
EDL14_ENG_0374	NIL0148	PER	DF	N	N	Y
EDL14_ENG_0375	E0349508	GPE	DF	N	N	N
EDL14_ENG_0376	NIL0149	PER	DF	N	N	Y
EDL14_ENG_0377	NIL0030	PER	DF	N	N	Y
EDL14_ENG_0378	NIL0150	GPE	WB	N	Y	N
EDL14_ENG_0379	E0366653	ORG	WB	N	N	N
EDL14_ENG_0380	NIL0004	ORG	NW	N	Y	N
EDL14_ENG_0381	E0817946	ORG	NW	N	Y	N
EDL14_ENG_0382	E0423325	ORG	WB	N	Y	N
EDL14_ENG_0383	E0078394	ORG	DF	N	N	N
EDL14_ENG_0384	E0679687	GPE	NW	N	N	N
EDL14_ENG_0385	NIL0151	PER	WB	N	Y	N
EDL14_ENG_0386	E0315026	PER	NW	N	N	N
EDL14_ENG_0387	E0348701	PER	DF	N	N	N
EDL14_ENG_0388	E0173529	ORG	DF	N	N	N
EDL14_ENG_0389	NIL0152	PER	DF	N	N	Y
EDL14_ENG_0390	NIL0026	PER	DF	N	N	Y
EDL14_ENG_0391	NIL0153	PER	DF	N	N	Y
EDL14_ENG_0392	E0663498	GPE	NW	N	N	N
EDL14_ENG_0393	NIL0154	PER	NW	Y	Y	N
EDL14_ENG_0394	E0595045	ORG	DF	N	Y	N
EDL14_ENG_0395	NIL0155	PER	NW	N	N	N
EDL14_ENG_0396	E0171454	GPE	NW	N	N	N
EDL14_ENG_0397	NIL0156	ORG	NW	Y	Y	N
EDL14_ENG_0398	E0168760	ORG	NW	N	N	N
EDL14_ENG_0399	E0557250	PER	DF	N	N	N
EDL14_ENG_0400	E0680375	GPE	NW	N	N	N
EDL14_ENG_0401	E0734088	GPE	NW	N	Y	N
EDL14_ENG_0402	NIL0157	PER	DF	N	N	Y
EDL14_ENG_0403	E0127848	ORG	NW	N	N	N
EDL14_ENG_0404	NIL0158	PER	NW	N	Y	N
EDL14_ENG_0405	E0450344	PER	NW	N	Y	N
EDL14_ENG_0406	NIL0159	PER	DF	N	N	Y
EDL14_ENG_0407	E0734088	GPE	NW	N	Y	N
EDL14_ENG_0408	NIL0160	ORG	NW	N	N	N
EDL14_ENG_0409	E0371991	ORG	NW	N	Y	N
EDL14_ENG_0410	E0076734	PER	NW	N	N	N
EDL14_ENG_0411	NIL0161	PER	DF	N	N	Y
EDL14_ENG_0412	NIL0088	PER	DF	N	N	Y
EDL14_ENG_0413	NIL0162	PER	DF	N	N	Y
EDL14_ENG_0414	NIL0003	PER	DF	N	N	Y
EDL14_ENG_0415	E0384127	ORG	NW	N	Y	N
EDL14_ENG_0416	E0679734	ORG	WB	N	Y	N
EDL14_ENG_0417	NIL0077	ORG	NW	Y	Y	N
EDL14_ENG_0418	E0718219	ORG	DF	Y	Y	N
EDL14_ENG_0419	E0291349	PER	WB	N	Y	N
EDL14_ENG_0420	NIL0163	PER	WB	N	N	N
EDL14_ENG_0421	E0018131	ORG	DF	N	N	N
EDL14_ENG_0422	E0014920	PER	WB	N	N	N
EDL14_ENG_0423	E0419726	PER	NW	N	N	N
EDL14_ENG_0424	E0528308	GPE	NW	N	Y	N
EDL14_ENG_0425	E0682398	PER	DF	N	Y	N
EDL14_ENG_0426	NIL0164	PER	DF	N	N	Y
EDL14_ENG_0427	E0226785	PER	WB	N	N	N
EDL14_ENG_0428	E0673836	PER	DF	N	N	N
EDL14_ENG_0429	E0596839	PER	DF	N	N	N
EDL14_ENG_0430	E0475482	GPE	NW	N	Y	N
EDL14_ENG_0431	NIL0165	ORG	NW	Y	Y	N
EDL14_ENG_0432	NIL0146	PER	NW	N	N	N
EDL14_ENG_0433	E0604659	GPE	DF	N	Y	N
EDL14_ENG_0434	NIL0030	PER	DF	N	N	Y
EDL14_ENG_0435	E0253605	ORG	NW	N	N	N
EDL14_ENG_0436	NIL0166	PER	WB	N	N	Y
EDL14_ENG_0437	E0173174	PER	DF	N	Y	N
EDL14_ENG_0438	E0530900	GPE	WB	N	Y	N
EDL14_ENG_0439	E0375368	PER	DF	N	N	N
EDL14_ENG_0440	NIL0167	PER	NW	N	N	N
EDL14_ENG_0441	E0665283	GPE	NW	N	Y	N
EDL14_ENG_0442	NIL0041	PER	DF	N	N	Y
EDL14_ENG_0443	E0817485	PER	NW	N	N	N
EDL14_ENG_0444	NIL0168	PER	DF	Y	Y	N
EDL14_ENG_0445	NIL0169	GPE	NW	Y	Y	N
EDL14_ENG_0446	E0734088	GPE	NW	N	Y	N
EDL14_ENG_0447	E0745362	PER	NW	N	N	N
EDL14_ENG_0448	E0141366	PER	NW	N	N	N
EDL14_ENG_0449	E0199103	GPE	NW	Y	Y	N
EDL14_ENG_0450	E0557250	PER	DF	N	N	N
EDL14_ENG_0451	E0767323	ORG	NW	N	N	N
EDL14_ENG_0452	NIL0012	PER	DF	N	N	Y
EDL14_ENG_0453	NIL0170	GPE	NW	Y	Y	N
EDL14_ENG_0454	E0679687	GPE	NW	N	N	N
